Borough,Latitude,Longitude
Altstadt,50.11044205,8.682901089428581
Innenstadt,50.1129932,8.674341444481126
Bahnhofsviertel,50.10774145,8.66867603609037
Westend-Süd,50.1152448,8.6622696
Westend-Nord,50.1263563,8.6679209
Nordend-West,50.1249136,8.67795
Nordend-Ost,50.1249197,8.6923167
Ostend,50.115935300000004,8.720546367937752
Bornheim,50.13305575,8.714932412293216
Gutleutviertel,50.0979252,8.648964143123907
Gallus,50.102309399999996,8.631983554867531
Bockenheim,50.12236065,8.637531996930134
Sachsenhausen-Nord,50.0978128,8.67336208063444
Sachsenhausen-Süd,50.0707248,8.685449728161462
Flughafen,50.04303025,8.567283919206004
Oberrad,50.0987908,8.727403333454317
Niederrad,50.0870527,8.639666776421652
Schwanheim,50.082954799999996,8.578916825535606
Griesheim,50.1019699,8.599959597996284
Rödelheim,50.12788555,8.604864520484977
Hausen,50.134154949999996,8.62583516469405
Praunheim,50.1471948,8.616688406909807
Heddernheim,50.15820405,8.641507080794128
Niederursel,50.16898715,8.622340140536535
Ginnheim,50.145069050000004,8.649053050185167
Dornbusch,50.14717045,8.669728689732548
Eschersheim,50.1612049,8.66283887284866
Eckenheim,50.15156345,8.682371125739518
Preungesheim,50.1534246,8.699083893049194
Bonames,50.18235405,8.665808859301599
Berkersheim,50.17119835,8.701223193752678
Riederwald,50.126372200000006,8.733935661805553
Seckbach,50.1434285,8.7258861
Fechenheim,50.125882950000005,8.757116199133065
Höchst,50.0976871,8.538449218858974
Nied,50.1025967,8.57050189934911
Sindlingen,50.0775892,8.51172312566463
Zeilsheim,50.097530500000005,8.495772165839732
Unterliederbach,50.1096205,8.522862379558008
Sossenheim,50.1210866,8.573314366361952
Nieder-Erlenbach,50.20865,8.706858509460442
Kalbach-Riedberg,50.17340885,8.6419484994945
Harheim,50.18601425,8.691747643438816
Nieder-Eschbach,50.2017328,8.666710664514689
Bergen-Enkheim,50.15801465,8.762038791958947
Frankfurter Berg,50.16975825,8.67593455931631
Stadt Frankfurt am Main,50.1111793,8.680760381911783
