Area,Latitude,Longitude
Abbey Wood,51.487621,0.1140504
Acton,51.5081402,-0.2732607
Addington,51.3586365,-0.0316347
Addiscombe,51.3796916,-0.0742821
Albany Park,51.4353837,0.1259653
Aldgate,51.5142477,-0.0757186
Aldwych,51.5116345,-0.1190235
Alperton,51.5408036,-0.3000963
Anerley,51.4075993,-0.0619394
Angel,51.5319458,-0.1061056
Aperfield,51.3166288,0.0327167
Archway,51.5654371,-0.1349977
Ardleigh Green,51.5841911,0.2209904
Arkley,51.6455827,-0.236258
Arnos Grove,51.6164024,-0.1332873
Balham,51.4456449,-0.1503643
Bankside,51.5125884,-0.3904739
Barbican,51.5201501,-0.0986832
Barking,51.5389922,0.0804245
Barkingside,51.5858181,0.0886245
Barnehurst,51.4650212,0.1596467
Barnes,51.4718962,-0.2387441
Barnes Cray,51.4532994,0.1920241
Barnet Gate,51.6418265,-0.2429855
Barnet,51.65309,-0.2002261
Barnsbury,51.5389351,-0.114735
Battersea,51.4707933,-0.172214
Bayswater,51.5122764,-0.1883854
Beckenham,51.4070938,-0.0303183
Beckton,51.5160797,0.0594257
Becontree,51.5403111,0.1265241
Becontree Heath,51.5610299,0.1478793
Beddington,51.3719875,-0.1323928
Bedford Park,51.49805155,-0.25573557687433185
Belgravia,51.4982128,-0.1534998
Bellingham,51.4310809,-0.0245145
Belmont,51.3437847,-0.2011522
Belsize Park,51.5473926,-0.1683005
Belvedere,51.4894735,0.1473593
Bermondsey,51.4970125,-0.063268
Berrylands,51.3937811,-0.2848024
Bethnal Green,51.5303456,-0.0561633
Bexley,51.4416793,0.150488
Bexleyheath,51.4634854,0.1480552
Bickley,51.4017399,0.0437122
Biggin Hill,51.3166288,0.0327167
Blackfen,51.4505408,0.1030617
Blackfriars,51.5115854,-0.1037671
Blackheath,51.4663175,0.0085624
Blackheath Royal Standard,51.4777351,0.0204897
Blackwall,51.5079378,-0.0071843
Blendon,51.4482606,0.1204599
Bloomsbury,51.523126,-0.1260664
Botany Bay,51.6765805,-0.1259027
Bounds Green,51.607376,-0.1249047
Bow,51.5283085,-0.0194816
Bowes Park,51.6071861,-0.1204848
Brentford,51.4863958,-0.3216623
Brent Cross,51.5767595,-0.2183801
Brent Park,51.4991376,-0.399273
Brimsdown,51.6555713,-0.0308375
Brixton,51.4568044,-0.1167959
Brockley,51.4578328,-0.0360868
Bromley,51.4028046,0.0148142
Bromley Common,51.3758752,0.0438187
Brompton,51.4918222,-0.178326
Brondesbury,51.5450493,-0.2025961
Brunswick Park,51.6262191,-0.1481899
Bulls Cross,51.6784103,-0.0590736
Burnt Oak,51.6028082,-0.2640125
"Burroughs, The",51.5883045,-0.2286063
Camberwell,51.4745706,-0.0925416
Cambridge Heath,51.5319544,-0.0574215
Camden Town,51.5423045,-0.1395604
Canary Wharf,51.50562,-0.0257169
Canning Town,51.5139887,0.0082987
Canonbury,51.5430358,-0.0954008
Carshalton,51.3657883,-0.1610857
Castelnau,51.4872936,-0.2313674
Castle Green,51.5334036,0.12005152247941958
Catford,51.4453215,-0.0197534
Chadwell Heath,51.5700474,0.1297842
Chalk Farm,51.5441141,-0.1534811
Charing Cross,51.5074975,-0.1236888
Charlton,51.4826053,0.0365359
Chase Cross,51.6038969,0.1827807
Cheam,51.3576155,-0.2162414
Chelsea,51.4875417,-0.1682205
Chelsfield,51.3579434,0.1272878
Chessington,51.358336,-0.2986216
Childs Hill,51.5629822,-0.1972494
Chinatown,51.511680299999995,-0.1304959294095688
Chinbrook,51.4294489,0.0330024
Chingford,51.630887,0.0039962
Chislehurst,51.4115718,0.0769545
Chiswick,51.4923137,-0.263818
Church End,51.601117,-0.1918901
Clapham,51.4622924,-0.1388561
Clerkenwell,51.5237268,-0.1055555
Cockfosters,51.651366,-0.1485149
Colindale,51.5954091,-0.2499296
Collier Row,51.599912,0.1615162
Colliers Wood,51.4182747,-0.1778626
Colney Hatch,51.6025172,-0.1480126
Colyers,51.470898,0.1683406
Coney Hall,51.370466,0.0038495
Coombe,51.4194499,-0.2653985
Coulsdon,51.3199716,-0.1393506
Covent Garden,51.512873600000006,-0.12254367918576929
Cowley,51.5294929,-0.4763836
Cranford,51.4806709,-0.4096772
Cranham,51.5614882,0.2679097
Crayford,51.4481946,0.1783696
Creekmouth,51.51629855,0.09774847286387214
Crews Hill,51.6847476,-0.1072562
Cricklewood,51.5566986,-0.2157507
Crofton Park,51.4552107,-0.0366376
Crook Log,51.4596374,0.1240177
Crossness,51.501917649999996,0.1514107338698154
Crouch End,51.5787402,-0.1235992
Croydon,51.3713049,-0.101957
Crystal Palace,51.4193664,-0.0711328
Cubitt Town,51.4936677,-0.0082433
Cudham,51.3163662,0.0748332
Custom House,51.508789500000006,-0.0826440579649754
Dagenham,51.5413271,0.1481142
Dalston,51.5434023,-0.0672286
Dartford,51.4443059,0.21807
