Borough,Latitude,Longitude
Barking and Dagenham,51.5541171,0.15050434261994267
Barnet,51.65309,-0.2002261
Bexley,51.4416793,0.150488
Brent,51.563825800000004,-0.2757596561855699
Bromley,51.4028046,0.0148142
Camden,51.5423045,-0.1395604
Croydon,51.3713049,-0.101957
Ealing,51.5126553,-0.3051952
Enfield,51.6520851,-0.0810175
Greenwich,51.4820845,-0.0045417
Hackney,51.5432402,-0.0493621
Hammersmith and Fulham,51.4920377,-0.2236401
Haringey,51.587929849999995,-0.10541010599099046
Harrow,51.5967688,-0.33727515543507014
Havering,51.5443687,-0.1443031798919795
Hillingdon,51.542519299999995,-0.44833493117949663
Hounslow,51.4686132,-0.3613471
Islington,51.5384287,-0.0999051
Kensington and Chelsea,51.4989948,-0.1991229
Kingston upon Thames,51.4096275,-0.3062621
Lambeth,51.5013012,-0.117287
Lewisham,51.4624325,-0.0101331
Merton,51.410802849999996,-0.18809850595572736
Newham,51.52999955,0.02931796029382208
Redbridge,51.5763203,0.0454097
Richmond upon Thames,51.44035365,-0.3081511776732277
Southwark,51.5029222,-0.103458
Sutton,51.3575114,-0.173640122600872
Tower Hamlets,51.5086717,-0.016911863941739255
Waltham Forest,51.59816935,-0.01783667461048707
Wandsworth,51.4570271,-0.1932607
Westminster,51.5013562,-0.1249302
